lineage,position,gene_coordinate,allele_change,codon_number,codon_change,amino_acid_change,locus_Id,gene_name,mutation_type,essential,diagnostic_snp
lineage4.2.2.1,63097,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,84636,641,C/G,214,GCC/GGC,A/G,Rv0075,0,nonsyn,nonessential,no
lineage4.2.2.1,105979,656,C/T,219,GCC/GTC,A/V,Rv0096,PPE1,nonsyn,ND,no
lineage4.2.2.1,152092,945,C/T,315,GCC/GCT,A/A,Rv0125,pepA,syn,ND,no
lineage4.2.2.1,155952,286,T/G,96,TTC/GTC,F/V,Rv0128,0,nonsyn,nonessential,no
lineage4.2.2.1,218596,0,T/C,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,226006,566,G/A,189,GCA/GTA,A/V,Rv0193c,0,nonsyn,nonessential,no
lineage4.2.2.1,232692,462,G/A,154,ACG/ACA,T/T,Rv0197,0,syn,nonessential,no
lineage4.2.2.1,310711,39,G/A,13,GAC/GAT,D/D,Rv0258c,0,syn,nonessential,no
lineage4.2.2.1,397680,239,A/C,80,AAG/ACG,K/T,Rv0332,0,nonsyn,nonessential,no
lineage4.2.2.1,455605,0,A/C,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,456648,172,C/T,58,GCC/ACC,A/T,Rv0380c,0,nonsyn,nonessential,no
lineage4.2.2.1,486100,370,G/A,124,GGC/AGC,G/S,Rv0405,pks6,nonsyn,nonessential,no
lineage4.2.2.1,591009,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,612768,171,G/A,57,AAG/AAA,K/K,Rv0521,0,syn,nonessential,no
lineage4.2.2.1,650598,148,A/C,50,TGG/GGG,W/G,Rv0559c,0,nonsyn,nonessential,no
lineage4.2.2.1,676796,559,C/T,187,CGG/TGG,R/W,Rv0579,0,nonsyn,nonessential,no
lineage4.2.2.1,917174,473,G/A,158,CCG/CTG,P/L,Rv0823c,0,nonsyn,nonessential,no
lineage4.2.2.1,943912,283,G/C,95,CCA/GCA,P/A,Rv0846c,0,nonsyn,nonessential,no
lineage4.2.2.1,995684,612,G/A,204,CCC/CCT,P/P,Rv0893c,0,syn,nonessential,no
lineage4.2.2.1,1033502,285,C/T,95,GCG/GCA,A/A,Rv0926c,0,syn,nonessential,no
lineage4.2.2.1,1039119,796,C/T,266,GGT/AGT,G/S,Rv0931c,pknD,nonsyn,nonessential,no
lineage4.2.2.1,1042941,827,C/A,276,CCC/CAC,P/H,Rv0934,pstS1,nonsyn,ND,no
lineage4.2.2.1,1061178,477,C/T,159,CCG/CCA,P/P,Rv0950c,0,syn,essential,no
lineage4.2.2.1,1106219,1104,G/T,368,ATG/ATT,M/I,Rv0988,0,nonsyn,nonessential,no
lineage4.2.2.1,1113326,943,T/C,315,TCG/CCG,S/P,Rv0996,0,nonsyn,nonessential,no
lineage4.2.2.1,1129165,14,G/A,5,AGC/AAC,S/N,Rv1010,ksgA,nonsyn,nonessential,no
lineage4.2.2.1,1306780,1447,C/T,483,GTG/ATG,V/M,Rv1175c,fadH,nonsyn,nonessential,no
lineage4.2.2.1,1333459,480,C/T,160,GCC/GCT,A/A,Rv1190,0,syn,nonessential,no
lineage4.2.2.1,1455780,286,T/C,96,TTG/CTG,L/L,Rv1299,prfA,syn,essential,yes
lineage4.2.2.1,1600714,1057,G/C,353,GAG/CAG,E/Q,Rv1425,0,nonsyn,nonessential,no
lineage4.2.2.1,1619555,130,C/A,44,GCC/TCC,A/S,Rv1441c,PE_PGRS26,nonsyn,ND,no
lineage4.2.2.1,1676398,486,C/T,162,GTG/GTA,V/V,Rv1486c,0,syn,nonessential,no
lineage4.2.2.1,1678462,1066,C/G,356,CGG/GGG,R/G,Rv1488,0,nonsyn,nonessential,no
lineage4.2.2.1,1747341,147,C/A,49,GTC/GTA,V/V,Rv1546,0,syn,nonessential,no
lineage4.2.2.1,1801636,741,G/C,247,ACG/ACC,T/T,Rv1600,hisC1,syn,essential,no
lineage4.2.2.1,1889908,1883,C/T,628,GCT/GTT,A/V,Rv1664,pks9,nonsyn,nonessential,no
lineage4.2.2.1,1919736,54,T/G,18,GCT/GCG,A/A,Rv1696,recN,syn,essential,no
lineage4.2.2.1,1941852,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,1954797,773,T/G,258,GAC/GCC,D/A,Rv1729c,0,nonsyn,nonessential,no
lineage4.2.2.1,1957665,0,A/C,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,1985573,1098,C/A,366,ACG/ACT,T/T,Rv1754c,0,syn,nonessential,no
lineage4.2.2.1,2012300,231,C/G,77,CAG/CAC,Q/H,Rv1778c,0,nonsyn,nonessential,no
lineage4.2.2.1,2131886,0,T/G,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,2157367,0,A/C,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,2166060,1252,T/G,418,ACC/CCC,T/P,Rv1917c,PPE34,nonsyn,ND,no
lineage4.2.2.1,2173997,0,C/G,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,2234084,133,G/A,45,CTC/TTC,L/F,Rv1990A,0,nonsyn,nonessential,no
lineage4.2.2.1,2276348,77,G/A,26,ACG/ATG,T/M,Rv2029c,pfkB,nonsyn,nonessential,no
lineage4.2.2.1,2336517,1163,C/A,388,GCG/GAG,A/E,Rv2079,0,nonsyn,nonessential,no
lineage4.2.2.1,2338768,60,G/T,20,CCG/CCT,P/P,Rv2082,0,syn,nonessential,no
lineage4.2.2.1,2338773,65,G/A,22,CGG/CAG,R/Q,Rv2082,0,nonsyn,nonessential,no
lineage4.2.2.1,2338912,204,A/C,68,CGA/CGC,R/R,Rv2082,0,syn,nonessential,no
lineage4.2.2.1,2341714,844,C/T,282,CCC/TCC,P/S,Rv2083,0,nonsyn,nonessential,no
lineage4.2.2.1,2362844,2605,C/T,869,CTG/TTG,L/L,Rv2101,helZ,syn,nonessential,no
lineage4.2.2.1,2375129,1162,C/T,388,GTC/ATC,V/I,Rv2115c,mpa,nonsyn,nonessential,no
lineage4.2.2.1,2383188,2880,C/T,960,CCG/CCA,P/P,Rv2124c,metH,syn,nonessential,no
lineage4.2.2.1,2447495,6,C/A,2,GCG/GCT,A/A,Rv2185c,TB16.3,syn,nonessential,no
lineage4.2.2.1,2491446,908,G/A,303,CCA/CTA,P/L,Rv2221c,glnE,nonsyn,essential,no
lineage4.2.2.1,2616467,1775,C/T,592,TCG/TTG,S/L,Rv2339,mmpL9,nonsyn,nonessential,no
lineage4.2.2.1,2667580,2690,A/G,897,ATG/ACG,M/T,Rv2381c,mbtD,nonsyn,nonessential,no
lineage4.2.2.1,2673848,1990,C/A,664,GTG/TTG,V/L,Rv2383c,mbtB,nonsyn,nonessential,no
lineage4.2.2.1,2690427,356,T/A,119,ATT/AAT,I/N,Rv2395,0,nonsyn,nonessential,no
lineage4.2.2.1,2712128,749,C/T,250,GGG/GAG,G/E,Rv2414c,0,nonsyn,nonessential,no
lineage4.2.2.1,2747825,2401,C/G,801,GTC/CTC,V/L,Rv2448c,valS,nonsyn,essential,no
lineage4.2.2.1,2815041,1840,C/T,614,GTG/ATG,V/M,Rv2501c,accA1,nonsyn,nonessential,no
lineage4.2.2.1,2826511,579,A/C,193,AGT/AGG,S/R,Rv2510c,0,nonsyn,essential,no
lineage4.2.2.1,2858270,455,A/C,152,GTG/GGG,V/G,Rv2533c,nusB,nonsyn,essential,no
lineage4.2.2.1,2906753,11,G/T,4,ACC/AAC,T/N,Rv2581c,0,nonsyn,nonessential,no
lineage4.2.2.1,3007524,1686,G/A,562,AGC/AGT,S/S,Rv2690c,0,syn,nonessential,no
lineage4.2.2.1,3018272,438,T/G,146,GAT/GAG,D/E,Rv2703,sigA,nonsyn,essential,no
lineage4.2.2.1,3117588,771,A/C,257,CAA/CAC,Q/H,Rv2812,0,nonsyn,ND,no
lineage4.2.2.1,3131336,438,G/C,146,GCC/GCG,A/A,Rv2823c,0,syn,ND,no
lineage4.2.2.1,3259272,3588,A/C,1196,GTA/GTC,V/V,Rv2933,ppsC,syn,nonessential,no
lineage4.2.2.1,3317301,773,C/T,258,CCC/CTC,P/L,Rv2964,purU,nonsyn,nonessential,no
lineage4.2.2.1,3471310,60,A/C,20,GAT/GAG,D/E,Rv3102c,ftsE,nonsyn,nonessential,no
lineage4.2.2.1,3494024,158,A/G,53,ATC/ACC,I/T,Rv3128c,0,nonsyn,ND,no
lineage4.2.2.1,3514777,121,G/C,41,GAG/CAG,E/Q,Rv3149,nuoE,nonsyn,nonessential,no
lineage4.2.2.1,3579166,1035,C/G,345,CGG/CGC,R/R,Rv3202c,0,syn,nonessential,no
lineage4.2.2.1,3596416,1119,C/G,373,GTG/GTC,V/V,Rv3220c,0,syn,nonessential,no
lineage4.2.2.1,3656971,1119,C/T,373,GAG/GAA,E/E,Rv3274c,fadE25,syn,nonessential,no
lineage4.2.2.1,3672987,660,C/T,220,TCC/TCT,S/S,Rv3292,0,syn,nonessential,no
lineage4.2.2.1,3688222,1221,G/T,407,CCC/CCA,P/P,Rv3302c,glpD2,syn,nonessential,no
lineage4.2.2.1,3690764,175,C/T,59,GGG/AGG,G/R,Rv3303c,lpdA,nonsyn,nonessential,no
lineage4.2.2.1,3699068,948,C/T,316,GAC/GAT,D/D,Rv3311,0,syn,nonessential,no
lineage4.2.2.1,3888637,166,C/A,56,GAC/TAC,D/Y,Rv3470c,ilvB2,nonsyn,nonessential,no
lineage4.2.2.1,3973676,825,C/T,275,GCG/GCA,A/A,Rv3535c,hsaG,syn,nonessential,no
lineage4.2.2.1,4016262,0,C/G,0,./.,./.,0,0,inter,0,no
lineage4.2.2.1,4054331,366,G/A,122,GCC/GCT,A/A,Rv3614c,espD,syn,essential,no
lineage4.2.2.1,4179591,1307,T/C,436,GTG/GCG,V/A,Rv3729,0,nonsyn,nonessential,no
lineage4.2.2.1,4234953,174,A/C,58,GAA/GAC,E/D,Rv3788,0,nonsyn,nonessential,no
lineage4.2.2.1,4291750,1425,T/C,475,CCA/CCG,P/P,Rv3824c,papA1,syn,nonessential,no
lineage4.2.2.1,4294209,5397,G/A,1799,ATC/ATT,I/I,Rv3825c,pks2,syn,nonessential,no
lineage4.2.2.1,4385099,281,G/A,94,CCG/CTG,P/L,Rv3899c,0,nonsyn,nonessential,no
lineage4.2.2.1,4391753,1321,C/T,441,GGC/AGC,G/S,Rv3907c,pcnA,nonsyn,essential,no
lineage4.2.2.1,4410654,136,T/G,46,AGT/CGT,S/R,Rv3923c,rnpA,nonsyn,essential,no
lineage4.3,14251,163,G/A,55,GAT/AAT,D/N,Rv0012,0,nonsyn,nonessential,no
lineage4.3,33457,234,C/T,78,CAC/CAT,H/H,Rv0030,0,syn,nonessential,no
lineage4.3,63771,572,C/T,191,CCG/CTG,P/L,Rv0059,0,nonsyn,nonessential,no
lineage4.3,74059,453,C/G,151,AAG/AAC,K/N,Rv0066c,icd2,nonsyn,nonessential,no
lineage4.3,133862,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.3,157292,309,C/T,103,GAG/GAA,E/E,Rv0129c,fbpC,syn,ND,no
lineage4.3,162581,811,G/A,271,GGC/AGC,G/S,Rv0134,ephF,nonsyn,nonessential,no
lineage4.3,180025,872,C/T,291,GGG/GAG,G/E,Rv0152c,PE2,nonsyn,ND,no
lineage4.3,203269,794,C/T,265,GCG/GTG,A/V,Rv0172,mce1D,nonsyn,nonessential,no
lineage4.3,207226,413,T/C,138,ATG/ACG,M/T,Rv0175,0,nonsyn,essential,no
lineage4.3,212353,659,C/T,220,CGC/CAC,R/H,Rv0181c,0,nonsyn,nonessential,no
lineage4.3,408723,90,C/T,30,ATC/ATT,I/I,Rv0340,0,syn,nonessential,no
lineage4.3,472705,0,T/C,0,./.,./.,0,0,inter,0,no
lineage4.3,534691,525,C/T,175,TGG/TGA,W/*,Rv0446c,0,nonsyn,nonessential,no
lineage4.3,563420,8,T/C,3,GAG/GGG,E/G,Rv0472c,0,nonsyn,nonessential,no
lineage4.3,637922,48,C/T,16,CAG/CAA,Q/Q,Rv0546c,0,syn,nonessential,no
lineage4.3,664249,570,C/T,190,CAG/CAA,Q/Q,Rv0571c,0,syn,nonessential,no
lineage4.3,709226,290,G/A,97,ACC/ATC,T/I,Rv0613c,0,nonsyn,nonessential,no
lineage4.3,726703,1604,C/A,535,AGG/ATG,R/M,Rv0631c,recC,nonsyn,nonessential,no
lineage4.3,752343,827,A/G,276,GAG/GGG,E/G,Rv0655,mkl,nonsyn,essential,no
lineage4.3,764995,1626,C/G,542,GCC/GCG,A/A,Rv0668,rpoC,syn,essential,yes
lineage4.3,796509,991,G/T,331,GGC/TGC,G/C,Rv0696,0,nonsyn,nonessential,no
lineage4.3,885542,299,G/C,100,TCC/TGC,S/C,Rv0791c,0,nonsyn,nonessential,no
lineage4.3,942479,0,T/C,0,./.,./.,0,0,inter,0,no
lineage4.3,1103249,708,C/T,236,GCC/GCT,A/A,Rv0987,0,syn,nonessential,no
lineage4.3,1107434,0,A/T,0,./.,./.,0,0,inter,0,no
lineage4.3,1107917,183,G/T,61,CAC/CAA,H/Q,Rv0990c,0,nonsyn,nonessential,no
lineage4.3,1199547,824,G/A,275,CCA/CTA,P/L,Rv1075c,0,nonsyn,nonessential,no
lineage4.3,1354437,195,A/C,65,GCA/GCC,A/A,Rv1211,0,syn,essential,no
lineage4.3,1389738,3315,G/A,1105,GAC/GAT,D/D,Rv1248c,0,syn,essential,no
lineage4.3,1404169,435,T/G,145,AAA/AAC,K/N,Rv1256c,cyp130,nonsyn,ND,no
lineage4.3,1445474,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.3,1446923,545,T/G,182,ATC/AGC,I/S,Rv1292,argS,nonsyn,essential,no
lineage4.3,1452071,75,C/A,25,GGC/GGA,G/G,Rv1296,thrB,syn,essential,no
lineage4.3,1480024,801,G/T,267,TTC/TTA,F/L,Rv1318c,0,nonsyn,nonessential,no
lineage4.3,1512031,575,T/G,192,GAC/GCC,D/A,Rv1347c,mbtK,nonsyn,essential,no
lineage4.3,1613960,654,G/T,218,GCG/GCT,A/A,Rv1436,gap,syn,essential,no
lineage4.3,1692795,0,G/C,0,./.,./.,0,0,inter,0,no
lineage4.3,1718761,36,C/T,12,GGC/GGT,G/G,Rv1524,0,syn,essential,no
lineage4.3,1734994,261,C/T,87,GCC/GCT,A/A,Rv1534,0,syn,nonessential,no
lineage4.3,1740771,916,A/C,306,ACC/CCC,T/P,Rv1537,dinX,nonsyn,nonessential,no
lineage4.3,1793769,0,C/T,0,./.,./.,0,0,inter,0,no
lineage4.3,1899351,566,T/C,189,GAA/GGA,E/G,Rv1674c,0,nonsyn,nonessential,no
lineage4.3,1943592,17,C/T,6,CCC/CTC,P/L,Rv1716,0,nonsyn,nonessential,no
lineage4.3,1981056,0,C/T,0,./.,./.,0,0,inter,0,no
lineage4.3,2053411,0,G/C,0,./.,./.,0,0,inter,0,no
lineage4.3,2097990,30,A/C,10,GCA/GCC,A/A,Rv1850,ureC,syn,essential,no
lineage4.3,2174216,150,A/G,50,GTA/GTG,V/V,Rv1922,0,syn,nonessential,no
lineage4.3,2207525,0,C/T,0,./.,./.,0,0,inter,0,no
lineage4.3,2216248,992,C/G,331,CCG/CGG,P/R,Rv1971,mce3F,nonsyn,nonessential,no
lineage4.3,2231132,107,G/A,36,AGT/AAT,S/N,Rv1987,0,nonsyn,ND,no
lineage4.3,2245532,324,T/C,108,TGT/TGC,C/C,Rv2000,0,syn,nonessential,no
lineage4.3,2283030,692,A/G,231,ATT/ACT,I/T,Rv2037c,0,nonsyn,nonessential,no
lineage4.3,2463094,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.3,2503625,984,C/T,328,CTG/CTA,L/L,Rv2230c,0,syn,nonessential,no
lineage4.3,2621058,1395,G/A,465,CCC/CCT,P/P,Rv2343c,dnaG,syn,essential,no
lineage4.3,2654371,723,G/A,241,AAC/AAT,N/N,Rv2374c,hrcA,syn,essential,no
lineage4.3,2745889,250,C/T,84,GCC/ACC,A/T,Rv2446c,0,nonsyn,nonessential,no
lineage4.3,2881455,47,A/G,16,TAC/TGC,Y/C,Rv2561,0,nonsyn,nonessential,no
lineage4.3,2893238,234,C/A,78,CGG/CGT,R/R,Rv2568c,0,syn,nonessential,no
lineage4.3,2968913,0,T/C,0,./.,./.,0,0,inter,0,no
lineage4.3,3101119,463,G/T,155,CGC/AGC,R/S,Rv2791c,0,nonsyn,ND,no
lineage4.3,3108674,259,A/C,87,AGG/CGG,R/R,Rv2800,0,syn,nonessential,no
lineage4.3,3165074,923,T/C,308,GTG/GCG,V/A,Rv2854,0,nonsyn,nonessential,no
lineage4.3,3175702,1564,T/C,522,ATC/GTC,I/V,Rv2864c,0,nonsyn,nonessential,no
lineage4.3,3178445,0,C/G,0,./.,./.,0,0,inter,0,no
lineage4.3,3191027,595,G/A,199,CTG/TTG,L/L,Rv2881c,cdsA,syn,essential,no
lineage4.3,3243630,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.3,3260301,4617,A/G,1539,GGA/GGG,G/G,Rv2933,ppsC,syn,nonessential,no
lineage4.3,3418328,335,T/G,112,GAT/GCT,D/A,Rv3057c,0,nonsyn,nonessential,no
lineage4.3,3418330,333,G/A,111,CAC/CAT,H/H,Rv3057c,0,syn,nonessential,no
lineage4.3,3426795,1212,C/G,404,TCC/TCG,S/S,Rv3062,ligB,syn,nonessential,no
lineage4.3,3429202,1960,T/G,654,TAC/GAC,Y/D,Rv3063,cstA,nonsyn,nonessential,no
lineage4.3,3460986,749,G/A,250,CCG/CTG,P/L,Rv3092c,0,nonsyn,nonessential,no
lineage4.3,3548641,1024,T/C,342,TAT/CAT,Y/H,Rv3179,0,nonsyn,nonessential,no
lineage4.3,3594124,112,C/T,38,GCC/ACC,A/T,Rv3217c,0,nonsyn,nonessential,no
lineage4.3,3610441,749,C/T,250,CGT/CAT,R/H,Rv3234c,tgs3,nonsyn,nonessential,no
lineage4.3,3730327,6609,G/A,2203,TTC/TTT,F/F,Rv3343c,PPE54,syn,ND,no
lineage4.3,3776706,796,C/T,266,GCG/ACG,A/T,Rv3365c,0,nonsyn,nonessential,no
lineage4.3,3825560,231,C/G,77,CTC/CTG,L/L,Rv3406,0,syn,nonessential,no
lineage4.3,3859376,287,C/T,96,GGG/GAG,G/E,Rv3439c,0,nonsyn,nonessential,no
lineage4.3,3983271,874,T/G,292,ATC/CTC,I/L,Rv3544c,fadE28,nonsyn,essential,no
lineage4.3,4038287,2418,G/A,806,AAC/AAT,N/N,Rv3596c,clpC1,syn,essential,no
lineage4.3,4075957,206,C/A,69,GCC/GAC,A/D,Rv3636,0,nonsyn,ND,no
lineage4.3,4135112,387,G/A,129,ATG/ATA,M/I,Rv3693,0,nonsyn,nonessential,no
lineage4.3,4163944,209,A/G,70,CAT/CGT,H/R,Rv3720,0,nonsyn,nonessential,no
lineage4.3,4174564,1610,T/C,537,ATC/ACC,I/T,Rv3727,0,nonsyn,nonessential,no
lineage4.3,4220174,490,G/A,164,GAC/AAC,D/N,Rv3775,lipE,nonsyn,nonessential,no
lineage4.3,4233299,299,G/A,100,ACC/ATC,T/I,Rv3786c,0,nonsyn,nonessential,no
lineage4.3,4293072,103,G/A,35,CTT/TTT,L/F,Rv3824c,papA1,nonsyn,nonessential,no
lineage4.3,4315384,179,T/C,60,GAC/GGC,D/G,Rv3842c,glpQ1,nonsyn,nonessential,no
lineage4.3,4340330,61,T/G,21,TTG/GTG,L/V,Rv3864,espE,nonsyn,essential,no
lineage4.3,4373496,135,C/G,45,GTG/GTC,V/V,Rv3889c,espG2,syn,nonessential,no
lineage4.3,4391553,54,C/T,18,CCG/CCA,P/P,Rv3906c,0,syn,nonessential,no
lineage4.3,4408156,47,A/C,16,CTT/CGT,L/R,Rv3919c,gid,nonsyn,nonessential,no
lineage4.3.1,4771,338,A/G,113,CAT/CGT,H/R,Rv0004,0,nonsyn,nonessential,no
lineage4.3.1,20036,199,C/T,67,GCC/ACC,A/T,Rv0016c,pbpA,nonsyn,nonessential,no
lineage4.3.1,39724,106,C/T,36,GCG/ACG,A/T,Rv0036c,0,nonsyn,nonessential,no
lineage4.3.1,71622,34,G/A,12,GAT/AAT,D/N,Rv0064A,vapB1,nonsyn,nonessential,no
lineage4.3.1,90477,78,C/T,26,GGC/GGT,G/G,Rv0083,0,syn,nonessential,no
lineage4.3.1,134113,164,C/T,55,CCC/CTC,P/L,Rv0111,0,nonsyn,nonessential,no
lineage4.3.1,180373,524,C/T,175,AGG/AAG,R/K,Rv0152c,PE2,nonsyn,ND,no
lineage4.3.1,205402,172,G/T,58,GTG/TTG,V/L,Rv0174,mce1F,nonsyn,nonessential,no
lineage4.3.1,246239,1080,C/A,360,TCG/TCT,S/S,Rv0206c,mmpL3,syn,nonessential,no
lineage4.3.1,378647,0,A/C,0,./.,./.,0,0,inter,0,no
lineage4.3.1,488778,3048,C/T,1016,CTC/CTT,L/L,Rv0405,pks6,syn,nonessential,no
lineage4.3.1,502262,96,C/T,32,ATC/ATT,I/I,Rv0416,thiS,syn,essential,yes
lineage4.3.1,506979,0,C/T,0,./.,./.,0,0,inter,0,no
lineage4.3.1,609814,1069,C/T,357,CAA/TAA,Q/*,Rv0517,0,nonsyn,nonessential,no
lineage4.3.1,615614,780,C/A,260,GCC/GCA,A/A,Rv0524,hemL,syn,essential,yes
lineage4.3.1,662584,1290,C/T,430,CCC/CCT,P/P,Rv0570,nrdZ,syn,nonessential,no
lineage4.3.1,691309,809,G/A,270,AGC/AAC,S/N,Rv0592,mce2D,nonsyn,nonessential,no
lineage4.3.1,695527,0,G/C,0,./.,./.,0,0,inter,0,no
lineage4.3.1,697551,17,G/T,6,GCA/GAA,A/E,Rv0598c,vapC27,nonsyn,nonessential,no
lineage4.3.1,825585,786,T/C,262,TAT/TAC,Y/Y,Rv0732,secY,syn,essential,yes
lineage4.3.1,845670,284,G/A,95,ACG/ATG,T/M,Rv0753c,mmsA,nonsyn,nonessential,no
lineage4.3.1,942594,0,G/A,0,./.,./.,0,0,inter,0,no
lineage4.3.1,966942,406,C/A,136,GCC/TCC,A/S,Rv0869c,moaA2,nonsyn,nonessential,no
lineage4.3.1,1054951,705,G/A,235,GCG/GCA,A/A,Rv0945,0,syn,nonessential,no
lineage4.3.1,1137773,288,C/T,96,GGG/GGA,G/G,Rv1018c,glmU,syn,essential,yes
lineage4.3.1,1169028,201,G/A,67,ACC/ACT,T/T,Rv1046c,0,syn,nonessential,no
lineage4.3.1,1172079,75,A/G,25,CGT/CGC,R/R,Rv1048c,0,syn,nonessential,no
lineage4.3.1,1202106,390,T/A,130,AGT/AGA,S/R,Rv1077,cbs,nonsyn,nonessential,no
lineage4.3.1,1341254,249,G/A,83,GCG/GCA,A/A,Rv1198,esxL,syn,ND,no
lineage4.3.1,1346522,384,A/C,128,CGT/CGG,R/R,Rv1203c,0,syn,nonessential,no
lineage4.3.1,1370328,498,G/A,166,ACC/ACT,T/T,Rv1227c,0,syn,nonessential,no
lineage4.3.1,1373666,532,G/C,178,CCA/GCA,P/A,Rv1230c,0,nonsyn,nonessential,no
lineage4.3.1,1384198,986,T/C,329,ATC/ACC,I/T,Rv1240,mdh,nonsyn,nonessential,no
lineage4.3.1,1421109,1197,A/G,399,TTT/TTC,F/F,Rv1272c,0,syn,essential,yes
lineage4.3.1,1427896,483,T/G,161,GGT/GGG,G/G,Rv1278,0,syn,essential,yes
lineage4.3.1,1465535,652,A/G,218,ACG/GCG,T/A,Rv1309,atpG,nonsyn,essential,no
lineage4.3.1,1496295,1732,C/T,578,CAC/TAC,H/Y,Rv1328,glgP,nonsyn,nonessential,no
lineage4.3.1,1539854,792,G/A,264,CGC/CGT,R/R,Rv1367c,0,syn,nonessential,no
lineage4.3.1,1541214,195,T/C,65,AGT/AGC,S/S,Rv1368,lprF,syn,nonessential,no
lineage4.3.1,1625059,307,C/T,103,GCC/ACC,A/T,Rv1446c,opcA,nonsyn,essential,no
lineage4.3.1,1640446,215,G/C,72,CCA/CGA,P/R,Rv1454c,qor,nonsyn,nonessential,no
lineage4.3.1,1669254,0,C/T,0,./.,./.,0,0,inter,0,no
lineage4.3.1,1709249,379,C/T,127,CTG/TTG,L/L,Rv1517,0,syn,nonessential,no
lineage4.3.1,1715828,1785,G/C,595,GCC/GCG,A/A,Rv1522c,mmpL12,syn,nonessential,no
lineage4.3.1,1728154,256,C/G,86,GAT/CAT,D/H,Rv1527c,pks5,nonsyn,nonessential,no
lineage4.3.1,1914631,1030,G/A,344,GAA/AAA,E/K,Rv1689,tyrS,nonsyn,essential,no
lineage4.3.1,1942884,226,C/G,76,CTG/GTG,L/V,Rv1715,fadB3,nonsyn,essential,no
lineage4.3.1,1965624,0,A/G,0,./.,./.,0,0,inter,0,no
lineage4.3.1,2005558,398,C/T,133,GCG/GTG,A/V,Rv1771,0,nonsyn,nonessential,no
lineage4.3.1,2108291,556,G/A,186,GCG/ACG,A/T,Rv1860,apa,nonsyn,ND,no
lineage4.3.1,2203024,609,C/G,203,AGG/AGC,R/S,Rv1958c,0,nonsyn,nonessential,no
lineage4.3.1,2403621,645,G/C,215,ATG/ATC,M/I,Rv2143,0,nonsyn,nonessential,no
lineage4.3.1,2494560,840,A/G,280,AAT/AAC,N/N,Rv2223c,0,syn,ND,no
lineage4.3.1,2745142,0,G/C,0,./.,./.,0,0,inter,0,no
lineage4.3.1,2792510,0,C/A,0,./.,./.,0,0,inter,0,no
lineage4.3.1,2895948,13,G/C,5,CTG/GTG,L/V,Rv2571c,0,nonsyn,nonessential,no
lineage4.3.1,2950840,468,G/A,156,CGC/CGT,R/R,Rv2624c,0,syn,nonessential,no
lineage4.3.1,3037136,156,G/A,52,GCC/GCT,A/A,Rv2724c,fadE20,syn,nonessential,no
lineage4.3.1,3042846,305,A/C,102,GAC/GCC,D/A,Rv2730,0,nonsyn,nonessential,no
lineage4.3.1,3063365,550,T/C,184,TAC/CAC,Y/H,Rv2750,0,nonsyn,nonessential,no
lineage4.3.1,3096737,1627,T/G,543,TCT/GCT,S/A,Rv2787,0,nonsyn,nonessential,no
lineage4.3.1,3187535,506,A/C,169,GAC/GCC,D/A,Rv2875,mpt70,nonsyn,ND,no
lineage4.3.1,3233295,845,A/G,282,GTT/GCT,V/A,Rv2921c,ftsY,nonsyn,essential,no
lineage4.3.1,3248699,3255,C/G,1085,GCC/GCG,A/A,Rv2931,ppsA,syn,nonessential,no
lineage4.3.1,3260960,5276,A/G,1759,GAT/GGT,D/G,Rv2933,ppsC,nonsyn,nonessential,no
lineage4.3.1,3276352,0,A/C,0,./.,./.,0,0,inter,0,no
lineage4.3.1,3304133,116,C/T,39,TGG/TAG,W/*,Rv2951c,0,nonsyn,nonessential,no
lineage4.3.1,3395509,131,A/C,44,CAG/CCG,Q/P,Rv3035,0,nonsyn,nonessential,no
lineage4.3.1,3450169,173,T/C,58,GTC/GCC,V/A,Rv3084,lipR,nonsyn,nonessential,no
lineage4.3.1,3522395,162,G/A,54,CTG/CTA,L/L,Rv3156,nuoL,syn,nonessential,no
lineage4.3.1,3588146,349,A/G,117,ACA/GCA,T/A,Rv3211,rhlE,nonsyn,nonessential,no
lineage4.3.1,3604465,1089,C/G,363,CCC/CCG,P/P,Rv3227,aroA,syn,nonessential,no
lineage4.3.1,3629572,76,G/A,26,CTG/TTG,L/L,Rv3248c,sahH,syn,essential,yes
lineage4.3.1,3670183,229,G/A,77,CTG/TTG,L/L,Rv3289c,0,syn,nonessential,no
lineage4.3.1,3671865,433,C/T,145,GAT/AAT,D/N,Rv3291c,lrpA,nonsyn,nonessential,no
lineage4.3.1,3671866,432,G/C,144,AGC/AGG,S/R,Rv3291c,lrpA,nonsyn,nonessential,no
